timestamp,scenario,intersection_id,direction,density,queue,avg_speed,flow,capacity,phase
250.0,normal,C,S,0.12,4.0,2.92,2.0,50.0,2.0
250.0,normal,C,E,0.06,0.0,13.75,24.0,50.0,2.0
250.0,normal,C,W,0.04,0.0,10.75,24.0,50.0,2.0
255.0,normal,C,N,0.14,4.0,4.91,2.0,50.0,2.0
255.0,normal,C,S,0.14,5.0,3.0,0.0,50.0,2.0
255.0,normal,C,E,0.04,0.0,13.29,26.0,50.0,2.0
255.0,normal,C,W,0.06,0.0,11.46,24.0,50.0,2.0
260.0,normal,C,N,0.16,6.0,2.29,0.0,50.0,2.0
260.0,normal,C,S,0.14,6.0,2.1,0.0,50.0,2.0
260.0,normal,C,E,0.04,0.0,14.0,28.0,50.0,2.0
260.0,normal,C,W,0.04,0.0,11.85,26.0,50.0,2.0
265.0,normal,C,N,0.16,7.0,1.78,0.0,50.0,2.0
265.0,normal,C,S,0.16,6.0,2.27,0.0,50.0,2.0
265.0,normal,C,E,0.04,0.0,13.82,26.0,50.0,2.0
265.0,normal,C,W,0.06,0.0,12.63,24.0,50.0,2.0
270.0,normal,C,N,0.18,7.0,2.09,0.0,50.0,3.0
270.0,normal,C,S,0.18,7.0,2.1,0.0,50.0,3.0
270.0,normal,C,E,0.06,0.0,10.49,22.0,50.0,3.0
270.0,normal,C,W,0.08,0.0,10.81,20.0,50.0,3.0
275.0,normal,C,N,0.14,3.0,2.97,4.0,50.0,0.0
275.0,normal,C,S,0.14,2.0,3.29,4.0,50.0,0.0
275.0,normal,C,E,0.08,1.0,9.11,16.0,50.0,0.0
275.0,normal,C,W,0.1,1.0,7.48,14.0,50.0,0.0
280.0,normal,C,N,0.12,0.0,5.29,8.0,50.0,0.0
280.0,normal,C,S,0.1,0.0,6.33,10.0,50.0,0.0
280.0,normal,C,E,0.08,1.0,8.4,10.0,50.0,0.0
280.0,normal,C,W,0.1,2.0,3.75,10.0,50.0,0.0
285.0,normal,C,N,0.08,0.0,10.39,14.0,50.0,0.0
285.0,normal,C,S,0.06,0.0,10.59,14.0,50.0,0.0
285.0,normal,C,E,0.1,3.0,5.02,6.0,50.0,0.0
285.0,normal,C,W,0.12,4.0,3.58,4.0,50.0,0.0
290.0,normal,C,N,0.04,0.0,12.36,18.0,50.0,0.0
